Company,TypeName,Ram,OpSys,Weight,Touchscreen,CpuCompany,ClockSpeed,Flash Storage,HDD,Hybrid,SSD,GPU,Ppi,Price
Lenovo,Notebook,8,No,2.2,0,Intel,2.4,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,26586.72
Dell,Ultrabook,8,Windows,1.22,1,Intel,1.6,0.0,0.0,0.0,0.128,Intel,225.56390977443607,52161.12
Asus,Netbook,2,Windows,0.98,0,Intel,1.44,0.032,0.0,0.0,0.0,Intel,183.9655172413793,10224.432
Lenovo,Gaming,8,Windows,2.5,0,Intel,2.5,0.0,1.0,0.0,0.128,Nvidia,192.30769230769232,53226.72
HP,Notebook,4,No,1.86,0,AMD,1.5,0.0,0.5,0.0,0.0,AMD,136.7948717948718,13746.24
Dell,2 in 1 Convertible,8,Windows,1.62,1,Intel,1.6,0.0,0.0,0.0,0.256,Intel,225.56390977443607,43636.32
HP,Ultrabook,8,Windows,1.91,0,Intel,1.8,0.0,0.0,0.0,0.256,Intel,192.30769230769232,35111.52
Dell,Notebook,4,Windows,2.3,0,Intel,2.0,0.0,1.0,0.0,0.0,Intel,136.7948717948718,22305.1392
Apple,Ultrabook,8,Mac,1.35,0,Intel,1.6,0.128,0.0,0.0,0.0,Intel,175.93984962406014,58554.72
Dell,Notebook,8,Windows,2.2,0,Intel,1.6,0.0,0.0,0.0,0.256,AMD,192.30769230769232,42624.0
Dell,Ultrabook,8,Windows,1.88,0,Intel,1.9,0.0,0.0,0.0,0.512,Intel,192.30769230769232,69157.44
HP,Notebook,8,Windows,2.5,0,Intel,1.6,0.0,1.0,0.0,0.0,Nvidia,173.41040462427745,47738.88
Chuwi,Notebook,4,Windows,1.89,0,Intel,1.44,0.064,0.0,0.0,0.0,Intel,192.30769230769232,13053.0672
Asus,Notebook,2,Windows,1.65,0,AMD,1.5,0.032,0.0,0.0,0.0,AMD,152.42857142857142,10602.72
HP,Notebook,4,Windows,2.71,0,AMD,2.5,0.0,0.5,0.0,0.0,AMD,173.41040462427745,23389.92
Dell,Ultrabook,16,Windows,1.2,1,Intel,1.8,0.0,0.0,0.0,0.512,Intel,375.9398496240601,99580.32
Apple,Ultrabook,8,Mac,1.35,0,Intel,1.6,0.256,0.0,0.0,0.0,Intel,175.93984962406014,53173.44
Lenovo,Notebook,4,Windows,1.44,0,Intel,1.1,0.064,0.0,0.0,0.0,Intel,152.42857142857142,13266.72
Acer,Notebook,4,Linux,2.1,0,Intel,2.7,0.0,1.0,0.0,0.0,Intel,136.7948717948718,19553.76
Dell,Notebook,8,Windows,2.8,0,Intel,1.6,0.0,1.0,0.0,0.128,AMD,173.41040462427745,52161.12
HP,Notebook,4,Windows,1.86,0,Intel,2.5,0.0,1.0,0.0,0.0,Intel,136.7948717948718,26037.4032
HP,Notebook,8,Windows,2.1,0,Intel,1.6,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,46833.12
Asus,Notebook,4,Linux,2.0,0,Intel,2.0,0.0,1.0,0.0,0.0,Intel,192.30769230769232,20725.92
Dell,Gaming,16,Windows,2.65,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,192.30769230769232,79866.72
Asus,Notebook,8,Linux,2.3,0,Intel,2.5,0.0,1.0,0.0,0.0,Nvidia,136.7948717948718,27864.9072
Acer,Notebook,4,Windows,2.2,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,192.30769230769232,36336.96
Dell,2 in 1 Convertible,12,Windows,2.77,1,Intel,1.6,0.0,1.0,0.0,0.0,Nvidia,173.41040462427745,53226.72
Apple,Ultrabook,8,macOS,1.37,0,Intel,2.0,0.0,0.0,0.0,0.256,Intel,312.78195488721803,75604.31999999999
Lenovo,Notebook,4,No,2.2,0,Intel,2.0,0.0,0.0,0.0,0.128,Intel,136.7948717948718,19660.32
Asus,Gaming,8,Windows,3.2,0,AMD,3.0,0.0,1.0,0.0,0.256,AMD,173.41040462427745,69210.72
Dell,Notebook,4,Windows,2.3,0,Intel,2.5,0.0,0.0,0.0,0.256,AMD,192.30769230769232,34045.92
Asus,Notebook,4,Windows,2.8,0,Intel,1.1,0.0,1.0,0.0,0.0,Nvidia,123.35260115606935,24828.48
Lenovo,2 in 1 Convertible,4,Android,0.69,1,Intel,1.44,0.064,0.0,0.0,0.0,Intel,308.91089108910893,16996.32
Acer,Notebook,8,Windows,2.2,0,Intel,1.8,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,44808.48
HP,Notebook,4,Windows,1.86,0,AMD,2.5,0.0,0.0,0.0,0.256,AMD,192.30769230769232,21231.5472
HP,Notebook,8,Windows,1.49,0,Intel,1.8,0.0,0.0,0.0,0.512,Intel,225.56390977443607,58767.84
Acer,Notebook,4,Windows,2.4,0,Intel,2.4,0.0,1.0,0.0,0.0,Intel,136.7948717948718,20459.52
Dell,Notebook,8,Windows,2.13,0,Intel,1.8,0.0,0.0,0.0,0.256,AMD,192.30769230769232,40908.384
HP,Notebook,4,Windows,1.91,0,Intel,2.0,0.0,0.0,0.0,0.128,Intel,192.30769230769232,23389.92
Asus,Notebook,4,Windows,2.0,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,136.7948717948718,31232.203200000004
MSI,Gaming,16,Windows,2.43,0,Intel,2.8,0.0,2.0,0.0,0.256,Nvidia,173.41040462427745,130482.72
Asus,Notebook,4,Linux,2.0,0,Intel,2.0,0.0,0.0,0.0,0.256,Intel,192.30769230769232,22111.2
Dell,Notebook,16,Windows,2.8,0,Intel,1.8,0.0,2.0,0.0,0.256,AMD,173.41040462427745,69210.72
Dell,Ultrabook,8,Windows,1.7,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,214.28571428571428,46833.12
Lenovo,Notebook,8,No,1.7,0,Intel,2.7,0.0,0.0,0.0,0.256,Intel,214.28571428571428,31914.72
Asus,Notebook,8,Windows,1.4,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,214.28571428571428,50136.48
HP,Notebook,8,Windows,1.86,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,192.30769230769232,36763.2
Asus,Ultrabook,16,Windows,1.8,0,Intel,2.8,0.0,0.0,0.0,0.512,Nvidia,192.30769230769232,105654.24
HP,Notebook,4,Windows,1.86,0,Intel,2.0,0.0,0.5,0.0,0.0,AMD,136.7948717948718,23373.4032
HP,Notebook,4,Windows,1.44,0,Intel,1.6,0.0,0.0,0.0,0.032,Intel,152.42857142857142,12201.12
Lenovo,Notebook,4,Windows,1.9,0,Intel,2.5,0.0,1.0,0.0,0.0,Intel,192.30769230769232,29250.72
Asus,Gaming,12,Linux,3.0,0,Intel,2.8,0.0,1.0,0.0,0.0,Nvidia,173.41040462427745,50562.72
Microsoft,Ultrabook,4,Windows,1.252,1,Intel,2.5,0.0,0.0,0.0,0.128,Intel,278.51851851851853,58021.92
Dell,Ultrabook,8,Windows,1.4,0,Intel,1.8,0.0,0.0,0.0,0.256,AMD,225.56390977443607,50882.4
Dell,Notebook,8,Windows,2.2,0,Intel,1.8,0.0,0.0,0.0,0.256,AMD,192.30769230769232,46353.6
MSI,Gaming,8,Windows,2.7,0,Intel,2.5,0.0,1.0,0.0,0.128,Nvidia,173.41040462427745,58341.6
Acer,Notebook,8,Windows,2.1,0,Intel,2.0,0.0,1.0,0.0,0.0,Intel,152.42857142857142,20725.92
Asus,Gaming,8,Windows,2.2,0,Intel,2.8,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,50562.72
Lenovo,Notebook,8,No,2.2,0,Intel,2.5,0.0,2.0,0.0,0.0,Intel,192.30769230769232,27652.32
Dell,Notebook,8,Windows,2.02,0,Intel,1.8,0.0,1.0,0.0,0.128,Intel,192.30769230769232,45554.4
Acer,Notebook,4,Windows,2.2,0,Intel,2.7,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,28238.4
HP,Notebook,8,Windows,2.5,0,Intel,1.6,0.0,1.0,0.0,0.128,Nvidia,173.41040462427745,52054.56
Dell,Ultrabook,8,Windows,1.88,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,192.30769230769232,58403.4048
Apple,Ultrabook,8,macOS,0.92,0,Intel,1.3,0.0,0.0,0.0,0.512,Intel,312.0,80452.8
HP,Notebook,8,Windows,1.63,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,214.28571428571428,45820.8
Lenovo,Notebook,4,Windows,2.2,0,AMD,2.5,0.0,0.0,0.0,0.128,AMD,192.30769230769232,21258.72
Acer,Notebook,4,Windows,2.1,0,AMD,3.0,0.0,1.0,0.0,0.0,AMD,136.7948717948718,21045.6
Dell,Gaming,16,Windows,2.65,0,Intel,2.8,0.0,1.0,0.0,0.128,Nvidia,192.30769230769232,71874.72
HP,Ultrabook,8,Windows,1.83,0,Intel,1.8,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,37242.72
HP,Notebook,8,Windows,1.96,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,192.30769230769232,31914.1872
Asus,Gaming,16,Windows,2.2,0,Intel,2.8,0.0,1.0,0.0,0.128,Nvidia,192.30769230769232,77202.72
Dell,Ultrabook,8,Windows,1.21,0,Intel,1.8,0.0,0.0,0.0,0.256,Intel,225.56390977443607,87858.72
Asus,Gaming,8,Windows,2.45,0,AMD,3.0,0.0,1.0,0.0,0.0,AMD,192.30769230769232,37242.72
Acer,Notebook,8,Windows,2.2,0,Intel,1.8,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,36709.92
HP,Notebook,16,Windows,1.49,0,Intel,1.8,0.0,0.0,0.0,0.512,Intel,225.56390977443607,63776.16
Dell,Gaming,8,Windows,2.65,0,Intel,2.5,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,63669.6
Asus,Ultrabook,8,Windows,1.25,0,Intel,2.7,0.0,0.0,0.0,0.256,Intel,214.28571428571428,55890.72
Acer,2 in 1 Convertible,8,Windows,1.5,1,Intel,1.6,0.0,0.0,0.0,0.256,Intel,225.56390977443607,45128.16
Dell,Notebook,8,Linux,2.2,0,Intel,2.7,0.0,1.0,0.0,0.0,AMD,192.30769230769232,31962.672
Dell,Notebook,4,Linux,2.2,0,Intel,2.0,0.0,0.0,0.0,0.256,AMD,192.30769230769232,25840.8
Asus,Notebook,6,Windows,2.0,0,Intel,2.4,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,30742.56
HP,Gaming,12,Windows,2.62,0,Intel,2.8,0.0,1.0,0.0,0.128,Nvidia,192.30769230769232,66546.72
HP,Notebook,8,Windows,1.91,0,Intel,2.7,0.0,0.0,0.0,0.256,AMD,192.30769230769232,38308.32
HP,Notebook,4,Windows,2.1,0,AMD,1.5,0.0,0.5,0.0,0.0,AMD,192.30769230769232,18594.72
Dell,Notebook,8,Linux,2.2,0,Intel,1.6,0.0,1.0,0.0,0.0,AMD,192.30769230769232,34472.16
HP,Ultrabook,8,Windows,1.38,0,Intel,2.7,0.0,0.0,0.0,0.256,Nvidia,225.56390977443607,59620.32
Microsoft,Ultrabook,8,Windows,1.252,1,Intel,2.5,0.0,0.0,0.0,0.256,Intel,278.51851851851853,71395.2
HP,Notebook,6,Windows,1.58,0,Intel,2.5,0.0,0.0,0.0,0.256,Nvidia,214.28571428571428,35111.52
Lenovo,Notebook,4,Windows,1.85,0,Intel,2.0,0.0,1.0,0.0,0.0,Intel,192.30769230769232,22105.872
Asus,Ultrabook,8,Windows,1.3,0,Intel,2.7,0.0,0.0,0.0,0.256,Nvidia,214.28571428571428,63563.04
MSI,Gaming,16,Windows,2.2,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,192.30769230769232,69210.72
Lenovo,Notebook,8,Windows,1.58,0,Intel,2.7,0.0,0.0,0.0,0.256,Intel,214.28571428571428,78854.4
Asus,Ultrabook,16,Windows,1.5,0,Intel,1.8,0.0,1.0,0.0,0.256,Nvidia,192.30769230769232,67239.36
Dell,Ultrabook,8,Windows,1.23,1,Intel,2.4,0.0,0.0,0.0,0.256,Intel,375.9398496240601,73473.12
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,Intel,2.5,0.0,0.0,0.0,0.256,Intel,225.56390977443607,74538.72
HP,Notebook,4,Windows,1.63,0,Intel,1.6,0.0,0.5,0.0,0.0,Intel,152.42857142857142,38468.16
Dell,Ultrabook,8,Windows,1.21,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,225.56390977443607,86793.12
HP,2 in 1 Convertible,8,Windows,1.26,1,Intel,1.6,0.0,0.0,0.0,0.256,Intel,225.56390977443607,74538.1872
HP,Notebook,8,Windows,1.63,0,Intel,1.8,0.0,0.0,0.0,0.512,Intel,214.28571428571428,57755.52
Dell,Notebook,8,Windows,2.16,0,Intel,1.8,0.0,1.0,0.0,0.256,Nvidia,192.30769230769232,60223.98239999999
Asus,Notebook,4,Windows,2.0,0,Intel,2.0,0.0,1.0,0.0,0.0,Nvidia,173.41040462427745,30049.92
Asus,Notebook,8,Windows,1.7,0,Intel,1.8,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,59567.04
Acer,Notebook,6,Windows,2.1,1,Intel,2.4,0.0,1.0,0.0,0.0,Intel,192.30769230769232,25521.12
MSI,Gaming,16,Windows,1.8,0,Intel,2.8,0.0,2.0,0.0,0.256,Nvidia,192.30769230769232,119427.12
Lenovo,Notebook,8,No,2.2,0,Intel,2.5,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,33513.119999999995
HP,Notebook,16,Windows,2.5,0,Intel,1.8,0.0,0.0,0.0,0.512,Nvidia,173.41040462427745,67718.88
Acer,Notebook,4,Windows,2.1,0,AMD,3.0,0.0,0.0,0.0,0.256,AMD,136.7948717948718,24029.28
HP,Notebook,4,No,1.86,0,Intel,1.6,0.0,0.5,0.0,0.0,Intel,136.7948717948718,13799.52
HP,Notebook,8,Windows,1.63,0,Intel,1.6,0.0,1.0,0.0,0.0,Intel,214.28571428571428,43263.36
Asus,Notebook,4,Windows,1.65,0,AMD,1.5,0.0,0.0,0.0,0.064,AMD,152.42857142857142,14811.3072
Dell,Notebook,16,Windows,2.8,0,Intel,1.8,0.0,2.0,0.0,0.256,AMD,173.41040462427745,74378.87999999999
HP,Notebook,8,Windows,2.5,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,173.41040462427745,49443.84
Dell,Notebook,8,Windows,2.36,0,Intel,2.5,0.0,1.0,0.0,0.0,AMD,136.7948717948718,34045.3872
Dell,Notebook,4,Windows,2.2,0,Intel,2.0,0.0,1.0,0.0,0.0,AMD,192.30769230769232,23922.72
Acer,Ultrabook,8,Windows,1.6,0,Intel,1.8,0.0,0.0,0.0,0.256,Intel,214.28571428571428,47099.52
Acer,Notebook,4,Windows,2.2,0,Intel,2.7,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,30476.16
HP,Notebook,8,Windows,2.05,0,Intel,2.7,0.0,1.0,0.0,0.0,Intel,136.7948717948718,31861.44
HP,Notebook,8,Windows,1.63,0,Intel,1.8,0.0,0.0,0.0,0.256,Intel,214.28571428571428,52640.64
Lenovo,Notebook,4,No,1.9,0,Intel,1.1,0.0,1.0,0.0,0.0,Intel,136.7948717948718,13445.7408
Asus,Gaming,8,Windows,3.0,0,Intel,2.5,0.0,1.0,0.0,0.128,Nvidia,173.41040462427745,49976.64
Lenovo,Notebook,4,No,2.2,0,Intel,2.5,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,26586.72
HP,Notebook,4,Windows,1.32,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,225.56390977443607,37242.72
Acer,Notebook,4,Windows,3.0,0,Intel,2.7,0.0,1.0,0.0,0.0,Nvidia,173.41040462427745,34898.4
Lenovo,Notebook,8,Windows,1.75,0,Intel,1.6,0.0,0.0,0.0,0.256,AMD,214.28571428571428,59461.5456
Lenovo,Gaming,8,No,2.4,0,Intel,2.8,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,46300.32
Toshiba,Notebook,4,Windows,2.1,0,Intel,2.3,0.0,0.5,0.0,0.0,Intel,136.7948717948718,32074.56
HP,Notebook,4,Windows,1.86,0,AMD,2.5,0.0,0.0,0.0,0.256,AMD,136.7948717948718,19660.32
Asus,Ultrabook,8,Windows,1.25,0,Intel,1.8,0.0,0.0,0.0,0.256,Intel,214.28571428571428,58554.72
HP,Ultrabook,8,Windows,0.97,1,Intel,1.2,0.0,0.0,0.0,0.512,Intel,480.0,107305.92
Asus,Notebook,4,Windows,2.0,0,Intel,1.1,0.0,1.0,0.0,0.0,Intel,192.30769230769232,18328.32
MSI,Gaming,16,Windows,2.9,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,173.41040462427745,108105.12
Acer,Notebook,4,Windows,2.1,0,Intel,2.0,0.0,1.0,0.0,0.0,Intel,136.7948717948718,23816.16
Dell,Gaming,16,Windows,2.56,0,Intel,2.8,0.0,0.0,0.0,0.512,Nvidia,192.30769230769232,66560.5728
Dell,Gaming,8,Windows,2.62,0,Intel,2.8,0.0,0.0,1.0,0.0,Nvidia,192.30769230769232,47898.72
Lenovo,Notebook,4,Windows,1.9,0,Intel,2.5,0.0,0.0,0.0,0.128,Intel,136.7948717948718,26533.44
MSI,Gaming,16,Windows,2.8,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,173.41040462427745,100699.2
HP,Ultrabook,4,Windows,1.48,0,Intel,2.7,0.0,0.0,0.0,0.256,Intel,214.28571428571428,57648.96
HP,Notebook,6,Windows,1.91,0,Intel,1.6,0.0,0.0,0.0,0.256,AMD,192.30769230769232,32980.32
Lenovo,2 in 1 Convertible,4,Windows,1.74,1,Intel,2.4,0.0,0.0,0.0,0.256,Intel,214.28571428571428,33513.119999999995
Asus,2 in 1 Convertible,8,Windows,1.1,1,Intel,1.6,0.0,0.0,0.0,0.256,Intel,225.56390977443607,70063.2
Dell,2 in 1 Convertible,8,Windows,1.56,1,Intel,1.8,0.0,0.0,0.0,0.256,Intel,192.30769230769232,55890.72
Toshiba,Notebook,4,Windows,2.1,0,Intel,2.2,0.0,0.5,0.0,0.0,Intel,136.7948717948718,23816.16
Asus,Notebook,4,Windows,2.03,0,AMD,3.0,0.0,1.0,0.0,0.0,AMD,136.7948717948718,21471.84
Acer,Notebook,4,Windows,3.0,0,Intel,1.6,0.0,0.0,0.0,0.256,Nvidia,173.41040462427745,42890.4
Dell,Notebook,8,Windows,2.13,0,Intel,1.6,0.0,0.0,0.0,0.256,AMD,192.30769230769232,38787.84
Lenovo,Gaming,16,Windows,2.5,0,Intel,2.8,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,57489.12
Acer,Notebook,4,Windows,2.1,0,Intel,1.1,0.0,1.0,0.0,0.0,Intel,136.7948717948718,18541.44
MSI,Gaming,16,Windows,2.4,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,192.30769230769232,95850.72
Acer,Notebook,4,Windows,2.1,0,Intel,1.1,0.0,1.0,0.0,0.0,Intel,136.7948717948718,19367.8128
Dell,Gaming,8,Windows,2.56,0,Intel,2.8,0.0,1.0,0.0,0.128,Nvidia,192.30769230769232,56502.9072
Acer,Notebook,8,Windows,3.0,0,Intel,1.6,0.0,0.0,0.0,0.256,Nvidia,173.41040462427745,45501.12
HP,Notebook,4,Windows,1.49,0,Intel,1.6,0.0,0.5,0.0,0.0,Intel,225.56390977443607,40173.12
Huawei,Ultrabook,8,Windows,1.05,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,276.9230769230769,71874.72
HP,Notebook,6,Windows,2.71,0,Intel,2.5,0.0,2.0,0.0,0.0,AMD,173.41040462427745,37242.72
Lenovo,Notebook,4,No,2.2,0,AMD,2.9,0.0,0.5,0.0,0.0,AMD,136.7948717948718,16463.52
Toshiba,Notebook,4,Windows,2.0,0,Intel,2.4,0.0,0.5,0.0,0.0,Intel,136.7948717948718,26053.92
HP,Notebook,8,Windows,2.5,0,Intel,1.6,0.0,0.0,0.0,0.256,Nvidia,173.41040462427745,49177.44
Dell,Notebook,8,Windows,2.3,0,Intel,2.4,0.0,1.0,0.0,0.0,Intel,136.7948717948718,24455.52
Acer,Notebook,4,Windows,2.1,0,Intel,2.0,0.0,0.0,0.0,0.128,Intel,136.7948717948718,23922.72
MSI,Gaming,32,Windows,4.4,0,Intel,2.9,0.0,1.0,0.0,0.512,Nvidia,163.0434782608696,149130.72
Lenovo,Notebook,8,Windows,1.9,0,Intel,2.5,0.0,1.0,0.0,0.128,AMD,192.30769230769232,43316.64
HP,2 in 1 Convertible,8,Windows,1.29,1,Intel,1.6,0.0,0.0,0.0,0.256,Intel,451.12781954887214,79866.72
Dell,Notebook,16,Linux,2.02,0,Intel,1.8,0.0,2.0,0.0,0.256,AMD,192.30769230769232,55890.72
Dell,Ultrabook,8,Windows,1.23,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,225.56390977443607,74538.72
Lenovo,2 in 1 Convertible,16,Windows,1.4,1,Intel,1.8,0.0,0.0,0.0,0.512,Intel,431.6546762589928,98514.72
Toshiba,Notebook,8,Windows,2.0,0,Intel,2.5,0.0,0.0,0.0,0.128,Intel,136.7948717948718,42251.04
Xiaomi,Notebook,8,No,1.95,0,Intel,1.6,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,63882.72
Dell,Notebook,16,Windows,2.77,1,Intel,1.8,0.0,0.0,0.0,0.512,Nvidia,173.41040462427745,82530.72
Dell,Notebook,16,Windows,2.06,1,Intel,2.8,0.0,0.0,0.0,0.512,Nvidia,384.61538461538464,127712.16
Lenovo,Gaming,8,No,2.4,0,Intel,2.5,0.0,0.0,0.0,0.256,Nvidia,192.30769230769232,41505.12
Acer,Ultrabook,8,Windows,1.12,0,Intel,1.2,0.0,0.0,0.0,0.256,Intel,225.56390977443607,52693.92
Dell,Notebook,8,Windows,2.8,0,Intel,1.8,0.0,1.0,0.0,0.128,AMD,173.41040462427745,57808.8
Lenovo,2 in 1 Convertible,16,Windows,1.42,1,Intel,2.7,0.0,0.0,0.0,1.0,Intel,285.7142857142857,150462.72
Vero,Notebook,4,Windows,1.3,0,Intel,1.1,0.032,0.0,0.0,0.0,Intel,214.28571428571428,13852.8
Xiaomi,Ultrabook,8,No,1.3,0,Intel,2.5,0.0,0.0,0.0,0.256,Nvidia,225.56390977443607,53274.67199999999
Lenovo,Notebook,8,No,2.8,0,Intel,1.6,0.0,0.0,0.0,0.256,Nvidia,144.50867052023122,37189.44
Dell,2 in 1 Convertible,8,Windows,1.62,1,Intel,1.8,0.0,1.0,0.0,0.0,Intel,225.56390977443607,44701.92
HP,Notebook,8,Windows,2.5,0,Intel,1.6,0.0,1.0,0.0,0.0,Nvidia,173.41040462427745,48697.92
Razer,Gaming,32,Windows,3.49,1,Intel,2.9,0.0,0.0,0.0,1.0,Nvidia,346.8208092485549,324954.72
HP,Notebook,8,Windows,1.49,0,Intel,1.6,0.0,0.0,0.0,0.512,Intel,225.56390977443607,51095.52
HP,Gaming,16,Windows,3.35,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,173.41040462427745,73473.12
HP,Notebook,8,Windows,2.5,0,Intel,1.8,0.0,0.0,0.0,0.256,Nvidia,173.41040462427745,55677.6
Dell,Gaming,16,Windows,2.65,0,Intel,2.8,0.0,1.0,0.0,0.512,Nvidia,384.61538461538464,98301.6
Lenovo,Notebook,4,Windows,2.1,0,Intel,2.3,0.0,0.0,0.0,0.128,Intel,136.7948717948718,26267.04
Acer,Notebook,8,Windows,2.23,0,Intel,2.7,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,39533.76
Lenovo,Gaming,16,Windows,3.2,0,Intel,2.8,0.0,1.0,0.0,0.512,Nvidia,192.30769230769232,93186.72
Dell,Workstation,16,Windows,2.8,0,Intel,3.0,0.0,1.0,0.0,0.256,Nvidia,384.61538461538464,162770.4
Lenovo,Gaming,16,No,2.4,0,Intel,2.8,0.0,0.0,0.0,0.512,Nvidia,192.30769230769232,74485.44
Dell,Notebook,6,Windows,2.3,1,Intel,2.4,0.0,1.0,0.0,0.0,Intel,136.7948717948718,23389.92
Dell,Ultrabook,8,Windows,1.21,1,Intel,1.8,0.0,0.0,0.0,0.256,Intel,451.12781954887214,103842.72
Dell,Ultrabook,8,Windows,1.2,0,Intel,1.8,0.0,0.0,0.0,0.256,Intel,225.56390977443607,77202.72
Lenovo,Notebook,8,Windows,2.2,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,136.7948717948718,31808.16
Acer,Notebook,8,Linux,2.4,0,Intel,2.8,0.0,1.0,0.0,0.0,Nvidia,192.30769230769232,41505.12
Asus,Gaming,16,Windows,2.9,0,Intel,2.8,0.0,1.0,0.0,0.256,Nvidia,173.41040462427745,74964.95999999999
HP,Notebook,4,No,2.1,0,Intel,2.0,0.0,0.5,0.0,0.0,Intel,192.30769230769232,18594.72
Lenovo,Notebook,8,No,2.2,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,192.30769230769232,29250.72
Huawei,Ultrabook,8,Windows,1.05,0,Intel,2.7,0.0,0.0,0.0,0.512,Intel,276.9230769230769,79866.72
Dell,Ultrabook,8,Windows,1.4,0,Intel,1.8,0.0,0.0,0.0,0.256,AMD,225.56390977443607,49650.5664
Lenovo,Notebook,8,No,2.8,0,Intel,2.5,0.0,1.0,0.0,0.0,Nvidia,144.50867052023122,31381.92
